"","gene_short_name","value_1","value_2"
"1248","bip2",126.544,267.262
"1249","Octbeta2R,mir-284",13.6268,28.7767
"1250","CR44754",0.796835,1.68196
"1251","Pdh",11.0673,23.3408
"1252","CG34383",4.63024,9.76447
"1253","miple1",1.20566,2.54179
"1254","Hf",6.83688,14.3982
"1255","CG1695",1.71814,3.61822
"1256","CG2182",187.306,393.975
"1257","Cpr49Ae",7.12199,14.9746
"1258","CG17776",121.338,255.076
"1259","Tsp42Ec",2.75549,5.78838
"1260","Hnf4",83.3304,175.017
"1261","CG14500",6.43107,13.4985
"1262","CG33054,CG33056",77.6083,162.859
"1263","sns",0.309118,0.648594
"1264","CG6766",43.3604,90.9718
"1265","CG12499",13.6972,28.7234
"1266","CG13255,Pka-R1",159.609,334.075
"1267","NimB3",7.90409,16.536
"1268","mRpS18A",155.904,326.086
"1269","CG17691",87.7039,183.42
"1270","unc-13-4A",2.91009,6.08205
"1271","CG11319",0.740965,1.54839
"1272","CG30116",1.50051,3.13505
